"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote",
"CIDM","Cinedigm Corp","1.689","$18.92M","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/cidm",
"CTAS","Cintas Corporation","128.23","$13.51B","1983","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/ctas",
"CRUS","Cirrus Logic, Inc.","67.44","$4.31B","1989","Technology","Semiconductors","http://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","31.965","$159.83B","1990","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/csco",
"CTRN","Citi Trends, Inc.","18.39","$274.74M","2005","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/ctrn",
"CZNC","Citizens & Northern Corp","22.65","$275.42M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cznc",
"CZWI","Citizens Community Bancorp, Inc.","13.76","$72.48M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/czwi",
"CZFC","Citizens First Corporation","21.08","$42.56M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/czfc",
"CIZN","Citizens Holding Company","24.395","$119.4M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cizn",
"CTXS","Citrix Systems, Inc.","83.38","$12.6B","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ctxs",
"CHCO","City Holding Company","64.19","$1B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chco",
"CIVB","Civista Bancshares, Inc. ","19.849","$201.65M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/civb",
"CIVBP","Civista Bancshares, Inc. ","64.01","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/civbp",
"CDTI","Clean Diesel Technologies, Inc.","3.0972","$48.64M","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cdti",
"CLNE","Clean Energy Fuels Corp.","2.445","$367.96M","2007","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/clne",
"CLNT","Cleantech Solutions International, Inc.","4.17","$5.96M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CACG","ClearBridge All Cap Growth ETF","25.4355","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cacg",
"YLDE","ClearBridge Dividend Strategy ESG ETF","25.69","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ylde",
"LRGE","ClearBridge Large Cap Growth ESG ETF","25.83","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lrge",
